G,SR,I,SC,num_replicas,PEC_consultas_media,PEC_consultas_desv,PEC_consultas_ic_inf,PEC_consultas_ic_sup,PEC_partos_nat_media,PEC_partos_nat_desv,PEC_partos_nat_ic_inf,PEC_partos_nat_ic_sup,PEC_partos_ces_media,PEC_partos_ces_desv,PEC_partos_ces_ic_inf,PEC_partos_ces_ic_sup,PEC_general_media,PEC_general_desv,PEC_general_ic_inf,PEC_general_ic_sup,UT_med_media,UT_med_desv,UT_med_ic_inf,UT_med_ic_sup,UT_Q_media,UT_Q_desv,UT_Q_ic_inf,UT_Q_ic_sup,PTOSR_promedio_media,PTOSR_promedio_desv,PTOSR_promedio_ic_inf,PTOSR_promedio_ic_sup,PPDSR_media,PPDSR_desv,PPDSR_ic_inf,PPDSR_ic_sup,PPDINC_media,PPDINC_desv,PPDINC_ic_inf,PPDINC_ic_sup,CTM_media,CTM_desv,CTM_ic_inf,CTM_ic_sup,CII_media,CII_desv,CII_ic_inf,CII_ic_sup
2,15,15,3,5,1.4129877800235555,0.03601257832025723,1.3682722580407987,1.4577033020063124,19.54634880184767,0.2907665257968288,19.18531447488296,19.90738312881238,35.48629243392783,1.026727768715949,34.21144152755715,36.76114334029851,8.904692563636477,0.20699084317599722,8.647679485707,9.161705641565954,23.88825200426111,0.08549230213636583,23.782099290574823,23.994404717947393,30.900131770627308,0.15472883234237644,30.708010550023673,31.092252991230943,6.405805174439922,0.012398582515723152,6.39041030090139,6.421200047978454,5.618348271845376,0.2742008431610148,5.277882956615226,5.958813587075525,0.0,0.0,0.0,0.0,5684868261.044728,21064345.456100162,5658713421.646162,5711023100.443295,0.0,0.0,0.0,0.0
2,15,20,3,5,1.4030621808619443,0.030919494865561885,1.36467055724473,1.4414538044791587,19.412064685836516,0.30653713570164565,19.03144856032328,19.79268081134975,35.228253256076876,0.7522368283442455,34.29422786819884,36.16227864395491,8.80547999496606,0.1690496710848544,8.595577104471808,9.015382885460312,23.813525716313258,0.21780969059387895,23.543079265042937,24.08397216758358,30.755987937108365,0.2903006149562583,30.395532114860764,31.116443759355967,6.419199099233095,0.011157272878772303,6.405345515181389,6.433052683284802,5.426631194991477,0.1538373961705408,5.235616838589106,5.6176455513938475,0.0,0.0,0.0,0.0,5663822427.741115,51322112.96559334,5600097607.759991,5727547247.722239,6000000.0,0.0,6000000.0,6000000.0
2,24,10,3,5,1.4102874859000587,0.019015606824745665,1.3866764915017742,1.4338984802983432,19.809640213299595,0.3021471080483543,19.43447502707457,20.18480539952462,36.33894842987517,0.6648245577662002,35.513459711375134,37.1644371483752,9.114680132246031,0.15462125438324734,8.922692487321246,9.306667777170816,23.80889405359664,0.17716659059778672,23.58891267636686,24.028875430826417,30.934565527445862,0.19837972027903295,30.688244570801654,31.18088648409007,4.19897564120698,0.00025409276153566155,4.198660143372777,4.199291139041183,0.06249635989584805,0.023142338442828553,0.033761351417140824,0.09123136837455528,0.1776903066098853,0.1158833370045195,0.03380213905965912,0.3215784741601115,5824901910.969416,37576507.27270224,5778244514.710659,5871559307.228172,0.0,0.0,0.0,0.0
2,24,15,3,5,1.396402762085795,0.02411594698676335,1.3664588589297404,1.4263466652418497,19.240147676318106,0.27448598261784335,18.899328313689946,19.580967038946266,34.3032345511093,0.6641197467384305,33.478620971087985,35.12784813113061,8.64964778443929,0.12396696769900785,8.495722463680943,8.803573105197637,23.748593865261483,0.15214733642678993,23.55967799519774,23.937509735325225,30.681828918217917,0.23666872918803314,30.3879658776845,30.975691958751334,4.199489844229595,0.0005321865411068517,4.1988290473611745,4.200150641098016,0.04571193235106623,0.009472625268251895,0.033950114587002554,0.0574737501151299,0.0,0.0,0.0,0.0,5782515904.060379,49861348.02116575,5720604863.320589,5844426944.800169,0.0,0.0,0.0,0.0
2,24,20,3,5,1.410355430971826,0.02302649296319158,1.3817642636545386,1.4389465982891134,19.295127621341447,0.34239210628087907,18.86999166970332,19.720263572979572,35.144725194052384,0.6679295515452887,34.315381116562214,35.974069271542554,8.830309850066758,0.14287955609113148,8.652901449189065,9.007718250944452,23.844583844437143,0.16359817122365944,23.641449885056748,24.047717803817537,30.89583332887579,0.18280234581422583,30.668854237291068,31.12281242046051,4.198999466771083,0.000824943247535124,4.197975164440058,4.200023769102108,0.0565202742324471,0.023580420490908336,0.02724131504637983,0.08579923341851436,0.0,0.0,0.0,0.0,5814844147.699015,27853235.997142136,5780259787.32789,5849428508.070139,6000000.0,0.0,6000000.0,6000000.0
2,30,10,3,5,1.392335467887953,0.018461377886813558,1.3694126396086614,1.4152582961672444,19.70158261883465,0.3438402577001108,19.274648549715316,20.128516687953983,35.61463289749029,0.7933600797128951,34.62954624889872,36.59971954608186,8.943417548466483,0.1736963938944652,8.727744989549905,9.159090107383062,23.782540772622205,0.24140657511565303,23.482794919371425,24.082286625872985,30.807806941500182,0.3597319936158965,30.361140676025258,31.254473206975106,3.360892355820262,0.00010367362509754569,3.360763628012415,3.361021083628109,0.000753097111872576,0.0016839763358058439,-0.0013378356781246368,0.0028440299018697886,0.10336262518344863,0.09477454811227855,-0.014315519153598369,0.22104076952049562,5803085048.834615,65398517.718101054,5721882063.848158,5884288033.821072,42000000.0,0.0,42000000.0,42000000.0
2,30,15,3,5,1.3941123190644813,0.0350408016670803,1.350603417166269,1.4376212209626935,19.453387962354288,0.6511725601455932,18.644850437803328,20.26192548690525,35.06209329190851,1.38519688310824,33.34214419172894,36.78204239208808,8.810505135111566,0.29190503380372596,8.448057163743025,9.172953106480106,23.8683553614823,0.2616831382311516,23.543432829803702,24.1932778931609,30.88058488844191,0.34406996044703664,30.45336560569143,31.307804171192387,3.36055959044702,0.0007742312096111964,3.35959825542776,3.36152092546628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5817816330.282877,61852623.16403422,5741016154.905631,5894616505.660123,42000000.0,0.0,42000000.0,42000000.0
2,30,20,3,5,1.4219270119095806,0.016858526567742935,1.4009943864076524,1.4428596374115088,19.737602062495302,0.35086896185595795,19.30194070447163,20.173263420518975,35.651724487451546,0.7139175810130928,34.76527872942287,36.538170245480224,8.992961959462226,0.09033489281893622,8.880796375267357,9.105127543657096,23.864861928609603,0.13346915771119297,23.699138080609035,24.03058577661017,30.95804521095381,0.25465502857525235,30.64184923001037,31.27424119189725,3.360919455441075,5.1122310503399986e-05,3.360855978708618,3.360982932173532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5831176448.716193,42597456.89235736,5778284720.077916,5884068177.35447,48000000.0,0.0,48000000.0,48000000.0
2,15,10,4,5,1.4156204101539867,0.014316490205739526,1.397844139684883,1.4333966806230902,19.67243943658651,0.3642885525108816,19.22011545597599,20.124763417197034,35.86347656178532,0.8114298928928565,34.85595327671392,36.87099984685672,8.987299756751696,0.19275525127516646,8.747962500778602,9.22663701272479,23.847057237066853,0.16302883755497666,23.644630198805828,24.049484275327877,30.919134674693858,0.27840957749445566,30.57344352556387,31.264825823823845,6.403827105445441,0.014269812785832493,6.386108792648165,6.421545418242718,5.814876318764968,0.30074372493965734,5.441453662821699,6.188298974708237,0.08205388887879779,0.03151883670659737,0.04291808407495246,0.12118969368264312,5682002996.984624,40473130.87698907,5631748967.480078,5732257026.48917,0.0,0.0,0.0,0.0
2,15,15,4,5,1.417393923162462,0.02128401571547356,1.3909663271113553,1.4438215192135686,19.582778243371994,0.5418463563058526,18.909987130189126,20.25556935655486,35.568190383210705,0.055391832950264855,35.49941233844184,35.63696842797957,8.921228122610767,0.08978211342056913,8.8097489046938,9.032707340527734,23.783967695655928,0.17780355790638583,23.56319541905103,24.004739972260825,30.7882728179304,0.27234784992918676,30.45010829768513,31.126437338175673,6.409007009841443,0.0103588539072583,6.396144793882148,6.421869225800738,5.494995897533164,0.17818213810393047,5.273753551526542,5.716238243539785,0.0,0.0,0.0,0.0,5663074877.004721,38892660.0124236,5614783261.272915,5711366492.7365265,0.0,0.0,0.0,0.0
